,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
30,"Stangeland, Arlan",Arlan,Stangeland,,,House,Minnesota,Republican,1977,1991,fail-lastname
31,"Erdahl, Arlen",Arlen,Erdahl,,,House,Minnesota,Republican,1979,1983,fail-lastname
32,"Moody, Ashley",Ashley,Moody,,,Senate,Florida,Republican,2025,9999,fail-firstname
33,"Hawkins, Augustus F.",Augustus F.,Hawkins,,,House,California,Democratic,1963,1991,fail-firstname
34,"Sisk, B. F.",B. F.,Sisk,,,House,California,Democratic,1955,1979,fail-lastname
35,"Corrada, Baltasar",Baltasar,Corrada,,,House,Puerto Rico,Independent,1977,1987,fail-lastname
36,"Jordan, Barbara",Barbara,Jordan,,,House,Texas,Democratic,1973,1979,fail-firstname
37,"Conable, Barber B., Jr.","Barber B., Jr.",Conable,,,House,New York,Republican,1965,1985,fail-lastname
38,"Goldwater, Barry",Barry,Goldwater,,,Senate,Arizona,Republican,1953,1987,only-surname
39,"Goldwater, Barry, Jr.","Barry, Jr.",Goldwater,,,House,California,Republican,1969,1983,only-surname
40,"Abzug, Bella S.",Bella S.,Abzug,,,House,New York,Democratic,1971,1977,fail-lastname
41,"Blackburn, Ben",Ben,Blackburn,,,House,Georgia,Republican,1967,1975,fail-firstname
42,"Jones, Ben",Ben,Jones,,,House,Georgia,Democratic,1989,1993,ambiguous
43,"Rosenthal, Benjamin S.",Benjamin S.,Rosenthal,,,House,New York,Democratic,1961,1983,fail-firstname
44,"Stewart, Bennett McVey",Bennett McVey,Stewart,,,House,Illinois,Democratic,1979,1981,fail-firstname
45,"Bedell, Berkley W.",Berkley W.,Bedell,,,House,Iowa,Democratic,1975,1987,fail-firstname
46,"Dwyer, Bernard J.",Bernard J.,Dwyer,,,House,New Jersey,Democratic,1981,1993,fail-firstname
47,"Podell, Bertram L.",Bertram L.,Podell,,,House,New York,Democratic,1967,1975,fail-lastname
48,"Anthony, Beryl, Jr.","Beryl, Jr.",Anthony,,,House,Arkansas,Democratic,1979,1993,fail-firstname
49,"Byron, Beverly B.",Beverly B.,Byron,,,House,Maryland,Democratic,1979,1993,fail-firstname
50,"Baker, Bill",Bill,Baker,,,House,California,Republican,1993,1997,ambiguous
51,"Brock, Bill",Bill,Brock,,,"House,Senate",Tennessee,Republican,1963,1977,ambiguous
52,"Frenzel, Bill",Bill,Frenzel,,,House,Minnesota,Republican,1971,1991,fail-lastname
